,file,timestamp,summonerName,participantId,puuid,championId,teamId,individualPosition,assists,kills,deaths,champLevel,goldEarned,totalMinionsKilled,neutralMinionsKilled,visionScore,wardsPlaced,detectorWardsPlaced,wardsKilled,totalHeal,totalDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,turretKills,turretTakedowns,inhibitorKills,inhibitorTakedowns,win,timePlayed,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,killingSprees,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,12AssistStreakCount,itemsPurchased,longestTimeSpentLiving,visionWardsBoughtInGame,consumablesPurchased,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts
44,all_matches.json,,,5,uTuVARw64_m_oFZEKspHtqnWsQH6IzAVazJQLO0-uJhcdr0bxs4XBbQXw7l1YoNAXyLsEdSj2k_w3Q,432,100,UTILITY,20,8,6,14,9896,18,0,74,30,7,10,5485,22342,15966,8007,5472,2485,20114,11528,1298,502,0,1,0,1,True,1576,False,False,False,False,2,5,1,0,0,0,0,0,,29,430,9,11,35,45,21,6,4,6
45,all_matches.json,,,6,JA4SarndSOjib-MlNfMSPOvaO07hy9KJokj9bHFkzxVpuozvnT-d-YN328K6_W04FoEdb-VF_3pBJA,68,200,TOP,3,4,7,15,10287,200,4,19,8,4,2,1978,131103,23446,22034,1052,358,22913,20605,3879,3269,1,1,0,0,False,1576,False,False,False,False,1,2,1,0,0,0,0,0,,21,352,4,6,130,129,150,7,4,4
46,all_matches.json,,,7,EPIuqSyDRCkxxTvLAfmfboMpLDp68W7pCYu1c2s5Cmb6A00bs7EGzwLKpU575NUfkkg_eis0uHBHYw,75,200,JUNGLE,2,4,9,14,10248,14,150,15,3,0,2,19515,240731,18591,4403,13289,898,43895,32247,11258,554,1,1,0,0,False,1576,False,False,True,False,0,0,1,0,0,0,0,0,,21,535,0,0,169,24,80,14,3,16
47,all_matches.json,,,8,-x1a5O6GxeaDO3t_ZpFleheHZJxEMtLzN9AiZ7aFrNVi8zBTYiv6geV5-_pTHJ5oghDkasl6TJVBzw,61,200,MIDDLE,5,0,8,13,9083,185,1,26,12,2,6,122,94951,15280,14142,1138,0,19301,16316,3512,2570,1,1,0,0,False,1576,False,False,False,False,0,0,0,0,0,0,0,0,,21,544,2,4,147,101,53,8,4,2
48,all_matches.json,,,9,rxf0BgZ5ylYDULFcoxizkGjPjcYPGp8QmpTOt137kzf93RQ3dv8k1_FRyFS21bGtfQcxpmsUuvZmAQ,202,200,BOTTOM,2,3,6,13,9992,197,0,11,8,1,0,1927,113595,10303,666,9564,72,17068,7481,2883,653,0,0,0,0,False,1576,False,False,False,False,1,3,1,0,0,0,0,0,,23,1024,1,2,56,25,35,12,5,3
49,all_matches.json,,,10,COiXTl-12BlR3keNKx8yp875BshPAcMmy1WYbGWeoQcwnx4Ejn3gb2yUH_mxD6ABnsNeV22GsfTvyQ,555,200,UTILITY,5,5,8,11,8848,28,0,89,41,10,12,3907,21357,11235,0,9129,2105,20590,8223,682,682,0,0,0,0,False,1576,False,False,False,False,1,2,1,0,0,0,0,0,,32,789,11,13,44,54,31,7,4,6
50,all_matches.json,,,1,WjnapE6g9QOF0eV7mSByCbEhvbmWCw28ipiM3b1XZpD9qD4vXpuA-xT6tIhQ8sM2lcmKBkC_hfJHjA,68,100,TOP,4,6,7,16,10709,189,10,12,4,1,4,3186,156112,26218,25126,960,131,26767,25716,2087,2087,0,2,0,0,True,1731,False,False,False,False,2,3,2,1,0,0,0,0,,22,285,1,3,112,116,153,13,4,5
51,all_matches.json,,,2,IdZUfrplcC6alIrNvxfgvzko8NgdxYObh8bTztKK8EUX4wo6VI0EK6NrBrZmsqw4mb3HBeA4VPKcyQ,78,100,JUNGLE,15,13,3,17,15668,27,160,37,8,6,5,20413,265136,29278,1758,26048,1471,39174,45782,43764,3343,1,5,0,2,True,1731,True,False,False,False,4,6,2,3,0,0,0,0,,32,423,6,7,200,59,60,10,6,20
52,all_matches.json,,,3,WM7VdjHQ7IuF6Tfr_BccqY7fE04dgJyPwbFpk2CfthcwRNiDKNkOdovONHvqO7NS-tms-uMde6ZyoQ,92,100,MIDDLE,10,8,4,17,13063,215,4,6,4,1,0,7492,139549,20922,0,20922,0,29115,41515,8693,4075,2,4,0,2,True,1731,False,True,False,False,1,8,2,1,0,0,0,0,,19,1026,1,2,349,58,136,16,3,4
53,all_matches.json,,,4,spZNE1jvYUY437KBZb5A7B0V0LH_N7hP8nN4c4elsZkJdrWba9_QuKgYGDT7LUXJ1iar4c4mTRmNsw,235,100,BOTTOM,16,12,4,17,16456,217,11,28,10,2,7,21763,168390,31609,229,30375,1004,21964,14584,16758,9881,6,8,2,2,True,1731,False,False,True,False,2,7,3,2,2,0,0,0,,20,843,3,4,120,69,20,9,4,4
